qualification,count,words
"экономист,1416,""Экономист, экономист, ЭКОНОМИСТ"""
"инженер,1267,""инженерии, ИНЖЕНЕР, Инженер, инженера, инженер"""
"техник,1009,""техники, Техники, техник, ТЕХНИК, Техника, Техник, ТЕХНИКИ, техника"""
"менеджер,905,""Менеджер, менеджера, менеджер, МЕНЕДЖЕР"""
"юрист,722,""Юрист, юрист, ЮРИСТ, юриста"""
"учител,492,""учитель, УЧИТЕЛЬ, Учитель, Учительь"""
"бухгалтер,450,""Бухгалтер, бухгалтер, Бухгалтерия, БУХГАЛТЕР"""
"повар,277,""ПОВАР, Повар, повар"""
"психолог,262,""Психолог, Психология, ПСИХОЛОГИИ, ПСИХОЛОГ, психология, психологии, психолог, Психологии"""
"преподавател,244,""преподаватель, Преподаватель, преподавателя, ПРЕПОДАВАТЕЛЬ"""
